,Date,Time,Nitrogen dioxide,Status,Day_of_week,Season
281,2024-12-01,18:00:00,15.55635,V ,Sunday,Winter
282,2024-12-01,19:00:00,11.36472,V ,Sunday,Winter
283,2024-12-01,20:00:00,15.23032,V ,Sunday,Winter
284,2024-12-01,21:00:00,19.55318,V ,Sunday,Winter
285,2024-12-01,22:00:00,18.93598,V ,Sunday,Winter
286,2024-12-01,23:00:00,13.39548,V ,Sunday,Winter
287,2024-12-01,24:00:00,5.30283,V ,Sunday,Winter
288,2024-01-13,01:00:00,3.18009,V ,Saturday,Winter
289,2024-01-13,02:00:00,5.47876,V ,Saturday,Winter
290,2024-01-13,03:00:00,2.19539,V ,Saturday,Winter
291,2024-01-13,04:00:00,1.90243,V ,Saturday,Winter
292,2024-01-13,05:00:00,5.16262,V ,Saturday,Winter
293,2024-01-13,06:00:00,3.48464,V ,Saturday,Winter
294,2024-01-13,07:00:00,5.40019,V ,Saturday,Winter
295,2024-01-13,08:00:00,5.78143,V ,Saturday,Winter
296,2024-01-13,09:00:00,10.12994,V ,Saturday,Winter
297,2024-01-13,10:00:00,11.0342,V ,Saturday,Winter
298,2024-01-13,11:00:00,15.19969,V ,Saturday,Winter
299,2024-01-13,12:00:00,13.15837,V ,Saturday,Winter
300,2024-01-13,13:00:00,13.86921,V ,Saturday,Winter
301,2024-01-13,14:00:00,10.09995,V ,Saturday,Winter
302,2024-01-13,15:00:00,8.77218,V ,Saturday,Winter
303,2024-01-13,16:00:00,11.51309,V ,Saturday,Winter
304,2024-01-13,17:00:00,9.69894,V ,Saturday,Winter
305,2024-01-13,18:00:00,9.22005,V ,Saturday,Winter
306,2024-01-13,19:00:00,10.79476,V ,Saturday,Winter
307,2024-01-13,20:00:00,11.85581,V ,Saturday,Winter
308,2024-01-13,21:00:00,10.92531,V ,Saturday,Winter
309,2024-01-13,22:00:00,8.32348,V ,Saturday,Winter
310,2024-01-13,23:00:00,10.37688,V ,Saturday,Winter
311,2024-01-13,24:00:00,7.69323,V ,Saturday,Winter
312,2024-01-14,01:00:00,8.85936,V ,Sunday,Winter
313,2024-01-14,02:00:00,9.49009,V ,Sunday,Winter
314,2024-01-14,03:00:00,6.67731,V ,Sunday,Winter
315,2024-01-14,04:00:00,2.95664,V ,Sunday,Winter
316,2024-01-14,05:00:00,1.75612,V ,Sunday,Winter
317,2024-01-14,06:00:00,1.37693,V ,Sunday,Winter
318,2024-01-14,07:00:00,3.77608,V ,Sunday,Winter
319,2024-01-14,08:00:00,5.82507,V ,Sunday,Winter
320,2024-01-14,09:00:00,6.44739,V ,Sunday,Winter
321,2024-01-14,10:00:00,6.44173,V ,Sunday,Winter
322,2024-01-14,11:00:00,5.46926,V ,Sunday,Winter
323,2024-01-14,12:00:00,4.65546,V ,Sunday,Winter
324,2024-01-14,13:00:00,4.64793,V ,Sunday,Winter
325,2024-01-14,14:00:00,4.11759,V ,Sunday,Winter
326,2024-01-14,15:00:00,4.50395,V ,Sunday,Winter
327,2024-01-14,16:00:00,10.07275,V ,Sunday,Winter
328,2024-01-14,17:00:00,8.07837,V ,Sunday,Winter
329,2024-01-14,18:00:00,5.49375,V ,Sunday,Winter
330,2024-01-14,19:00:00,5.00186,V ,Sunday,Winter
331,2024-01-14,20:00:00,5.35844,V ,Sunday,Winter
332,2024-01-14,21:00:00,4.23594,V ,Sunday,Winter
333,2024-01-14,22:00:00,3.86052,V ,Sunday,Winter
334,2024-01-14,23:00:00,5.58949,V ,Sunday,Winter
335,2024-01-14,24:00:00,3.14624,V ,Sunday,Winter
336,2024-01-15,01:00:00,1.65127,V ,Monday,Winter
337,2024-01-15,02:00:00,0.62539,V ,Monday,Winter
338,2024-01-15,03:00:00,0.65666,V ,Monday,Winter
339,2024-01-15,04:00:00,0.804,V ,Monday,Winter
340,2024-01-15,05:00:00,0.66045,V ,Monday,Winter
341,2024-01-15,06:00:00,1.28251,V ,Monday,Winter
342,2024-01-15,07:00:00,1.94296,V ,Monday,Winter
343,2024-01-15,08:00:00,2.70479,V ,Monday,Winter
344,2024-01-15,09:00:00,8.77433,V ,Monday,Winter
345,2024-01-15,10:00:00,7.43639,V ,Monday,Winter
346,2024-01-15,11:00:00,5.17222,V ,Monday,Winter
347,2024-01-15,12:00:00,5.21439,V ,Monday,Winter
348,2024-01-15,13:00:00,4.64207,V ,Monday,Winter
349,2024-01-15,14:00:00,4.41228,V ,Monday,Winter
350,2024-01-15,15:00:00,5.89946,V ,Monday,Winter
351,2024-01-15,16:00:00,7.35016,V ,Monday,Winter
352,2024-01-15,17:00:00,12.49916,V ,Monday,Winter
353,2024-01-15,18:00:00,14.78845,V ,Monday,Winter
354,2024-01-15,19:00:00,8.96763,V ,Monday,Winter
355,2024-01-15,20:00:00,8.52468,V ,Monday,Winter
356,2024-01-15,21:00:00,8.16553,V ,Monday,Winter
357,2024-01-15,22:00:00,7.87463,V ,Monday,Winter
358,2024-01-15,23:00:00,5.49343,V ,Monday,Winter
359,2024-01-15,24:00:00,4.24361,V ,Monday,Winter
360,2024-01-16,01:00:00,3.87769,V ,Tuesday,Winter
361,2024-01-16,02:00:00,3.62512,V ,Tuesday,Winter
362,2024-01-16,03:00:00,4.05244,V ,Tuesday,Winter
363,2024-01-16,04:00:00,2.85853,V ,Tuesday,Winter
364,2024-01-16,05:00:00,4.67617,V ,Tuesday,Winter
365,2024-01-16,06:00:00,6.68513,V ,Tuesday,Winter
366,2024-01-16,07:00:00,10.31279,V ,Tuesday,Winter
367,2024-01-16,08:00:00,13.02973,V ,Tuesday,Winter
368,2024-01-16,09:00:00,23.83439,V ,Tuesday,Winter
369,2024-01-16,10:00:00,20.22007,V ,Tuesday,Winter
370,2024-01-16,11:00:00,16.66903,V ,Tuesday,Winter
371,2024-01-16,12:00:00,23.1095,V ,Tuesday,Winter
372,2024-01-16,13:00:00,14.75572,V ,Tuesday,Winter
373,2024-01-16,14:00:00,19.67486,V ,Tuesday,Winter
374,2024-01-16,15:00:00,25.82812,V ,Tuesday,Winter
375,2024-01-16,16:00:00,41.51405,V ,Tuesday,Winter
376,2024-01-16,17:00:00,18.56562,V ,Tuesday,Winter
377,2024-01-16,18:00:00,11.06119,V ,Tuesday,Winter
378,2024-01-16,19:00:00,8.34213,V ,Tuesday,Winter
379,2024-01-16,20:00:00,9.58578,V ,Tuesday,Winter
380,2024-01-16,21:00:00,8.58891,V ,Tuesday,Winter
381,2024-01-16,22:00:00,5.29608,V ,Tuesday,Winter
382,2024-01-16,23:00:00,3.67168,V ,Tuesday,Winter
383,2024-01-16,24:00:00,3.09388,V ,Tuesday,Winter
384,2024-01-17,01:00:00,1.87681,V ,Wednesday,Winter
385,2024-01-17,02:00:00,1.39233,V ,Wednesday,Winter
386,2024-01-17,03:00:00,1.37894,V ,Wednesday,Winter
387,2024-01-17,04:00:00,1.90107,V ,Wednesday,Winter
388,2024-01-17,05:00:00,2.09806,V ,Wednesday,Winter
389,2024-01-17,06:00:00,3.91116,V ,Wednesday,Winter
390,2024-01-17,07:00:00,6.77616,V ,Wednesday,Winter
391,2024-01-17,08:00:00,11.97447,V ,Wednesday,Winter
392,2024-01-17,09:00:00,21.15275,V ,Wednesday,Winter
393,2024-01-17,10:00:00,28.97879,V ,Wednesday,Winter
394,2024-01-17,11:00:00,16.24696,V ,Wednesday,Winter
395,2024-01-17,12:00:00,7.99054,V ,Wednesday,Winter
396,2024-01-17,13:00:00,6.80094,V ,Wednesday,Winter
397,2024-01-17,14:00:00,7.29057,V ,Wednesday,Winter
398,2024-01-17,15:00:00,8.15313,V ,Wednesday,Winter
399,2024-01-17,16:00:00,9.79412,V ,Wednesday,Winter
400,2024-01-17,17:00:00,14.46839,V ,Wednesday,Winter
401,2024-01-17,18:00:00,20.86593,V ,Wednesday,Winter
402,2024-01-17,19:00:00,15.89137,V ,Wednesday,Winter
403,2024-01-17,20:00:00,19.09107,V ,Wednesday,Winter
404,2024-01-17,21:00:00,14.03238,V ,Wednesday,Winter
405,2024-01-17,22:00:00,9.74062,V ,Wednesday,Winter
406,2024-01-17,23:00:00,12.90016,V ,Wednesday,Winter
407,2024-01-17,24:00:00,5.48519,V ,Wednesday,Winter
408,2024-01-18,01:00:00,2.02386,V ,Thursday,Winter
409,2024-01-18,02:00:00,2.07732,V ,Thursday,Winter
410,2024-01-18,03:00:00,1.61541,V ,Thursday,Winter
411,2024-01-18,04:00:00,1.61733,V ,Thursday,Winter
412,2024-01-18,05:00:00,2.81221,V ,Thursday,Winter
413,2024-01-18,06:00:00,4.67237,V ,Thursday,Winter
414,2024-01-18,07:00:00,7.34312,V ,Thursday,Winter
415,2024-01-18,08:00:00,11.06151,V ,Thursday,Winter
416,2024-01-18,09:00:00,23.69834,V ,Thursday,Winter
417,2024-01-18,10:00:00,14.64774,V ,Thursday,Winter
418,2024-01-18,11:00:00,11.75501,V ,Thursday,Winter
419,2024-01-18,12:00:00,7.65233,V ,Thursday,Winter
420,2024-01-18,13:00:00,7.78801,V ,Thursday,Winter
421,2024-01-18,14:00:00,6.90108,V ,Thursday,Winter
422,2024-01-18,15:00:00,8.49757,V ,Thursday,Winter
423,2024-01-18,16:00:00,12.76481,V ,Thursday,Winter
424,2024-01-18,17:00:00,16.93646,V ,Thursday,Winter
425,2024-01-18,18:00:00,17.21938,V ,Thursday,Winter
426,2024-01-18,19:00:00,16.95923,V ,Thursday,Winter
427,2024-01-18,20:00:00,20.43513,V ,Thursday,Winter
428,2024-01-18,21:00:00,15.24823,V ,Thursday,Winter
429,2024-01-18,22:00:00,10.26247,V ,Thursday,Winter
430,2024-01-18,23:00:00,3.56923,V ,Thursday,Winter
431,2024-01-18,24:00:00,4.76989,V ,Thursday,Winter
432,2024-01-19,01:00:00,3.61552,V ,Friday,Winter
